occ,n
prosten,35
banarbetare,35
byggmastaren,35
urmakaren,35
folkskollar,35
sekr,35
ingeniӧr,35
skradderiarbetaren,35
mobelsnick,35
traarb.,35
fanjunk.,35
kammarskrivare,34
telef;st,34
gardsag.,34
springp.,34
verkst. arb.,34
garfv.,34
utkorare,34
snick.mast,34
jarnsvarv.,34
smaltv.arb,34
organist,34
hand.idk.,34
kopparslagare,34
agronom,34
kulla,34
fabriksarbet.,34
kaféidk,34
inspektoren,34
hemmanseg.,34
kont.ch,34
aff.idk,34
gruvarbetare,34
sonen,34
hand.forest,34
handelsforest.,34
koksa,33
radman,33
som.,33
handelsforestandare,33
hushforest,33
hamnarb,33
ombudsman,33
kanslibitrade,33
porsl.arb.,33
trafikbitr,33
ogifta,33
skradd.arb,33
gardsagare,33
renhallningsarbetare,33
arbetsforman,33
aff.elev,32
bd.,32
sagarb.,32
rӧrarb,32
gymn.dir,32
hustrun,32
traddr.arb.,32
omyndig,32
sockerbr.arb.,32
nitare,32
tunnbindare,32
hemb,32
montoren,32
fabr.arb:a,32
charkuterist,32
rikstelef:st,32
fargaren,32
hems.,32
polis,32
forestandarinna,32
v. pastor,32
sterbhus,32
representant,32
folkskoll,32
jernarb.,32
skom,32
befallningsman,32
bokforare,32
o,32
folksk.lӓr,32
krutbr.arb,32
ladufogde,31
harfrisorska,31
skoarbet.,31
sadelmak.,31
lojtnanten,31
sparv.kond,31
martinarb,31
affarsbitradet,31
serg.,31
byggnadsarb,31
skogv,31
jvgsarb,31
karnmak,31
kopparv.arb,31
renh.arb,31
fargare,31
jordbruksarbetaren,31
verkstadsarb.,31
resande,31
n/a,30
trӓdg.arb,30
moder,30
prokurist,30
modellsnick,30
torp,30
husag,30
chark:ist,30
kommunalarb.,30
natl,30
tjenarinna,30
underskot,30
"jbr,arb",30
svarv.,30
jordbruksarb.,30
cigarrarbetare,30
bleckslagare,30
lagerbitradet,30
smaskoll.,30
dekorator,30
brygg.arb.,30
inkasserare,30
maskinrep,30
kvarnarbetare,30
konst,30
garvare,30
serv.bitr,30
f folksk.lar,30
sulfitf.arb,29
journ,29
brukstjm,29
div.handl,29
kopist,29
lokfor.,29
kopparslag.,29
mejerska,29
forradsm,29
st.karl,29
kakelugnsmakare,29
kallarmastare,29
skoarbet,29
verkm.,29
husforest.,29
pensionar,29
daglonaren,29
kondit.arb,29
stationsinspektor,29
timmerm,29
linderska,29
sold.,29
chokl.f.arb,29
hemmansagardotter,29
press,29
konstapel,29
stationsskrivare,29
friherre,29
sadelmak,29
f arr,29
gasverksarbetare,29
handelsbokhallaren,29
vakt,29
gjutaren,29
vagnkarl,29
forestand,29
godsagare,29
valsare,28
slagtare,28
telefonarbetare,28
husfru,28
stadsbudet,28
baron,28
smidesarbetare,28
poler,28
sergeanten,28
fabr.arbet.,28
komministen,28
leg.lak,28
skollar,28
ag,28
kyparen,28
smaskollar.,28
sagarb,28
sparv.kond.,28
brevb.bitr,28
tidningsbud,28
skollarar,28
smarglare,28
chark.arb.,28
tryckare,28
esk-tuna,28
tp.,28
kemist,28
Åk.ag,28
banv,28
waktmastaren,28
bleckslagaren,28
bankdirektor,28
elev,27
gr.arb.,27
gjut.,27
lantbr.,27
torparen,27
kommin.,27
ritaren,27
hauag,27
folkskollararinnan,27
hemd.,27
jarnvagsarbetare,27
lantbr.bitr,27
maleriarbetaren,27
sjukvardsbitrade,27
docent,27
magas.arb,27
bageriarb,27
manadskarl,27
charkuteriarbetare,27
bag.arb.,27
undtm.,27
hushall:a,27
kont.skriv,27
bankarb,27
husforestand.,27
folkskollararen,27
f snick,27
agenten,27
skot,26
packare,26
kondit.bitr,26
verktygsarbetare,26
el.montor,26
tunnbind.,26
stadsarb.,26
mȧl,26
insp:or,26
arbetareanka,26
chauffӧr,26
garfvaren,26
vaktm.,26
bruk.,26
_,26
flottn.arb,26
ryktare,26
praktikant,26
jord.arb.,26
grosshandlaren,26
gravor,26
flygtekn,26
packmastare,26
fabr.,26
forradsarb.,26
stenhuggaren,26
fakt. arb.,26
kontrollor,26
rattar.,26
lok.eld.,26
lokeld.,26
klockare,26
putsare,26
banvaktare,26
enk.,26
gummlf.arb,26
ak.ag,25
timmerm.,25
styrm.,25
husfӧrest,25
mart.arb.,25
kopparslag,25
stkrl.,25
varvsarb.,25
tryckeriarbetare,25
f kont,25
platsl,25
landtbr.,25
postvaktmastare,25
fil stud,25
riktare,25
cigarrarbeterska,25
maleriarb.,25
forradsarbetare,25
kaféidkerska,25
lokputsare,25
f smask.lar,25
bryggeriarb.,25
namndeman,25
f sjukskot,25
