occ,n
restaur.arb,1
forsakr.mannen,1
vavsarb,1
alebtare,1
f_dt. jons perssons enka,1
prakt.lӓk,1
verkmãst .,1
"koksbitrade,h.h",1
karmer,1
tadsticksarb,1
fralsn.offic.,1
s. m. adjunkt,1
f lagerrarb,1
hook.,1
roshild,1
f. overste,1
sio jdare f,1
Öfverstelojtn.,1
skomak.larl.,1
kimgag,1
jedhen,1
husmorsbitrade,1
snick. ag,1
villa trallserr,1
"stadsfiskalen, lojtnant",1
f.tullkontrollor,1
sagv.forman,1
folkskolelar.,1
landtlr,1
strumpvafv.ges.,1
lansarb.dir,1
gardsva_,1
handarbetarelarlingen,1
f skoarb,1
"transport,",1
cm. f.atins,1
foidel,1
earnskot,1
jlogoarb,1
simlarare,1
reservpostvaktbetjenten,1
pol.radm.tobaks-2. handl,1
tradeȧrdsmastare,1
vagnputs.,1
impressario,1
i:e expeditionsvakt,1
perkarh:a,1
metall arbetare,1
f.d.sjukskot:a,1
hotellvaktmast.,1
f stadst.an,1
fd. kantor,1
hand. arb,1
gardsegs,1
f.d.lok.for,1
d:me,1
"f.mejerist,sterbhus-14.",1
polerare.ag.,1
f stnskari,1
ringvagen,1
laru amt,1
haradshovdingeanka,1
mode***,1
byggn.snicjk,1
gjuteri-arb,1
qughrtn,1
retusch.elev,1
frukthand.idk,1
bokhallern,1
ex. jagm.,1
axel lansjagmast,1
bokforeska,1
ackordmat.,1
dir.ass.,1
nellif ostagheru,1
frontno,1
platslag. m. ag,1
krealarsobert,1
bokinderielev,1
ass.tjman,1
vagn-& stallkarl,1
fd. skogvaktaren,1
landsfiskalsaspirant,1
karnnlt,1
valsskot,1
alda,1
hursaula,1
forrédsarbetare,1
batmekaniker,1
i:e kanslisoketerare,1
mosaikarb,1
vinhandl.,1
sturucau,1
godsrakn.form,1
skom.m,1
kon torsbitrade,1
fosfstarb,1
medecine l__ntiaten,1
stationsfӧrm,1
fralsningssoldat,1
harad.skr.,1
orgelbyggeridirektoren,1
skrothandlaren,1
jarnvagare,1
kvarbarb,1
vik.bitr sjukskot,1
1e biblioth. aman.,1
beg,1
sprutnal,1
lager arb.,1
marinmalaren,1
wirkeshandlanden,1
distr:chef,1
jhoman,1
l:e banmast,1
cialist hudspe,1
bankvaktmast.bitr,1
ex bitrr,1
magister,1
landtbrefbar.,1
homm.arb,1
cig.hand.idkerska,1
hurh.hjame,1
f Ӧvermaskinist,1
smedesmastaren,1
fil de,1
baning.,1
uppsyn.m fd,1
__rid_ren,1
pappersraknare,1
skoll. klock.,1
dispensarskot:a,1
separ.arbetare,1
kontrist h.h.,1
fd. stuveriformannen,1
kronofjerdingsm.,1
__ik.,1
mask.elev.,1
kanahols.,1
restaurentbitrade,1
bokbinderiarbet:a,1
eg. majorskan,1
"daglonaren n 207, f.d. forsta kl sjoman _e134",1
apt.,1
folksk.lar.ag,1
fep,1
poliskstp;,1
begare,1
"mur.,ag",1
affarspraktikant,1
forradsar,1
sklrorhandl,1
hisspojk,1
fd.tulloverupps.mannen,1
lagerch.,1
rattar.a,1
e.o.reparator,1
badaremast.,1
e.tidn. bud,1
aggpack,1
sjukvărdare,1
chauffĕr,1
ind.arb,1
sagvoforaman,1
sybitr,1
koksbit.,1
mobelfabrikor,1
landbrukare,1
fd laderhandlande,1
skomakeriidk.,1
gargform,1
lifforsak.ag.,1
fil. d.,1
folksl.lar,1
sundkarl,1
f agent,1
tpf. arb.,1
sang- och musiklararinna,1
ulltorkare,1
f.verkst.arb.,1
fӓtn.tekn,1
rorlendn.entr,1
rattlaggare,1
e. st:skarl,1
stadsombudsm.,1
"lakaren, herr",1
"tradg.mast,",1
f.tullvaktm.,1
skoaffarsbitr.,1
***ordforande,1
fd. kaféidkerskan,1
garvamnesf.arb,1
ag.lansskogv.,1
hotelldir.,1
handelslar. lar.,1
mus,1
poslkõr,1
hattsommerskan,1
tapetserarsommerska,1
konf.arb.ag,1
bandir,1
cjauff,1
snick.f.arb.,1
motortvattare,1
portvaktsbitrade,1
tntibitr,1
landsflsakl,1
arbetare 71,1
inspekter,1
sȧgskarare,1
mast.mont,1
sjonna,1
f. hand. agent,1
hemfru,1
m.aniek,1
heruag.,1
kalkbrannare,1
kont.s,1
kloskgjutaren,1
ka__,1
gaeagrarb,1
aterv. arb.,1
byggn.grovarb f,1
lansd.forman.,1
fackskoleelev,1
himia hush.,1
avlas fd,1
"lab,.bitr",1
f.caféldkarska,1
evelina,1
f lektor,1
stadssergeant,1
fargbland,1
gjutarb.,1
"handelsidk:a,h.h",1
fattig,1
bruksarbetare 1513,1
fralsningsoff.,1
gevar.,1
tapetarb,1
mobelfabr.,1
v harad__,1
e.stationsarbetare,1
satanemast,1
typ-larl,1
polisuppsyn.,1
hans jonssons enka,1
murmastare,1
f hogbatsm,1
tegbran.,1
ulrika johanna,1
skomak.g___,1
telegrafkontrollӧr,1
sijderska,1
hosatt:a,1
reservtelegrafexpeditor,1
akeriidk,1
sparvagnsfor,1
"son, fd jarnarbetare",1
f.vagnskarl,1
f sadelamk,1
maakinmast,1
overskarare,1
posttj. man,1
tyogr,1
vӓrmeledn.mont,1
fortogr,1
snick.urb,1
chokl. arb,1
"ry, kopman",1
ledin. vakt,1
dekorart.,1
aterbhas,1
kans;osekreterare,1
perukmastaren,1
revolv.svarv,1
fӧrsakringst jansteman,1
lie kontorsskrivare,1
iorl.arb,1
biovaktmast,1
generall,1
tubdrageria rb.,1
sokreterare,1
c hauffor,1
barnav.lar:a,1
exped:is f,1
klensm__,1
go.mag.,1
reiuhold,1
_a,1
ingalill,1
ssepptpm,1
st. mast.,1
aurgt,1
djutskot.,1
kontorsbitrâde,1
luk_snat f_ral__,1
isoleraren,1
f. banktjanstoman,1
kakelugnm.,1
elevlar:a,1
buktarb,1
f.typogrsf,1
orgnist,1
forsakringst jansteman,1
lam.buggman.arb,1
l:e telegreafassistent,1
skolllarar.,1
paketerska fd,1
Äg.ak,1
abretaren,1
smaskoll:a o. h:u,1
f bibl.vaktm,1
febr,1
diskbitrade,1
__ttu,1
"eg., kapten",1
mejerlarb,1
platslaghandl.,1
forgyllaren och glasmastaren,1
guldsmedsenkan,1
f.gjutmst,1
findspumbs,1
mollarn,1
texrilarb,1
byggnsdsarbetare,1
ofvermaskinist,1
lokerep,1
colltalr,1
bjtrada,1
papp.sorter,1
f sockerarb,1
f.stuveri/arbet,1
handlanden och soldat,1
fjaderforman,1
merc.stud,1
impregn.arb.,1
starionsk,1
farghndelsbitrade,1
sliparelarl,1
telefonik,1
lãdhrsthim,1
sparvagamannen,1
torpar,1
kârnmak,1
hand. bitr./arb.,1
vafmastare,1
skrothand,1
handlarb,1
kommunalarb.fd,1
controllor,1
handplatslagare,1
tackjarnsvagare,1
timkar.,1
namdemannen,1
magaslnarb,1
skogstj.man,1
Öferkammarherre,1
hovslagarkorpral,1
e.stationsk.,1
ogifta n:o 81,1
reklamritare,1
stationarsv,1
hand.ank.,1
sadelmakararbetaren,1
sjukhus-vaktmast,1
gudmunds,1
pasarb,1
perhksson,1
modellsnick.form,1
skolkoklar,1
fӧrvalt,1
ex. Örgryte,1
f.drang,1
f. smaskollararinna,1
isolaer loarl,1
kafeidk,1
tidn.,1
f rodakorssyst,1
fd.kapten,1
roilaggare,1
stenarbet,1
shilereha,1
pyggn.arb,1
Ŏverpostiljon,1
hypot.omb.m.fd,1
h. avu,1
farnrik,1
sparv,1
stenhantl,1
grobarb,1
overbanm,1
s__p,1
mej-elev,1
karl gӧsta,1
hand.gruss,1
neuag,1
forrdasarb,1
f. inspekt.,1
f barnkrubbforest,1
vektmastare,1
mooelsnickare,1
…ordf.,1
aagrarb,1
mask.arbet.,1
formmakaren,1
kopra ralagaren,1
skolkokslarl.,1
bag f,1
skruvfabr,1
domanintendent,1
radiortekn,1
jbr;arb,1
distribut.bitr.,1
transportoren,1
f distr.lantmat,1
tlygtekn,1
t.f. andre lak.,1
fil.licent.,1
kakelugusmak,1
gardskarlkoksarb,1
exp. forest.,1
gt.drnug,1
kostorsbitrade,1
batsm_,1
haejes,1
f.husar,1
f.musik kanslibitr,1
rikstele fonist,1
kafèbitr,1
bogn.sollbet,1
rikt:a,1
portrattsmalaren,1
rornatsinsp.,1
fahnj,1
fabr. form.,1
"eg., handl.",1
f. hisskonduktor,1
portexpeditoren,1
jbr.arb.anka,1
svarv.arb,1
korresp.fr,1
dlgerstansare,1
m. kyrkoli,1
pingstforsamlingsfst.,1
bitr.verkmast.,1
hantv.forest fd,1
f. forvalt.,1
badfӧrest,1
sprotlackerare,1
oljeslagarb,1
f. barnmorska,1
pedlcurlst,1
hembtr,1
2:e kanslisekreterare,1
rfebhus,1
rallare,1
ar frurn,1
f.d. vaverskan,1
skadespeterska,1
handelsid,1
provruumsarb,1
forradsarbitrade,1
gardsagg,1
arkitekta,1
inspicient,1
gruvforman,1
funrik,1
mariningenior,1
vafverskan,1
tekn.fӧrest,1
h.h.damfris:a,1
korpral nr 16,1
kominister,1
billast,1
f.d. stadsvaktm.,1
tandstl.arb,1
"lag,ag",1
"ingenior,",1
snickarb.,1
kormastare,1
siekt.arb,1
fabriksarbet:a,1
tindningsbud,1
grons.handl,1
cikusalrtist,1
elsvetsaren,1
"mejerska, fru",1
murere,1
fõestadera,1
f stanskarl,1
grosshandl; fabrikoren,1
"districtslakaren, dr.",1
garfveriarbetaren,1
postttjm,1
tullvaktmast,1
skrdd.,1
fotogr.larl,1
bilsadelmak.,1
f lӓrov.adj,1
hushalleska f.d.,1
sjuksfhjjed,1
"fru, kaféidkerska",1
effekvard,1
vaxtmastarbitrade,1
forsaljn. man.,1
hãg. persson,1
Överkontr.,1
k.a.,1
pack.arb,1
trasvarfvaren,1
signalvakt,1
lasarettsunderlak.,1
filrep,1
sattarlarl.,1
f.d. hushall.,1
f.d. handelsresanden,1
telef:srt,1
lieutenant,1
rutiksforestandarinna,1
koks.forest,1
varmeteknlker,1
servitria,1
frekentar,1
charc.,1
hovratts radsankan,1
____kt__,1
grokarbatare,1
laroverksadj fil dokt,1
f smaltare,1
skoterskebitrabet,1
f sangare,1
fartygslnsp:or,1
bilskoleinstr,1
perssv.arb.,1
rltrado,1
strew btre,1
mask:st,1
skomak.ges.,1
ruddslip,1
elextr,1
rostmӓst,1
bror josef vemer,1
"aff,bud",1
affarsbitadet,1
vsavlag,1
stalln bygg.,1
grovarbg.,1
f.verkst.direktor,1
byggnadsarbatare,1
hemmadahhar,1
stranbo,1
tidningsbudg,1
muslkelev,1
f.hem.eg.,1
prastgardarb.,1
kronouppbordm.,1
trg___t.,1
missionslar,1
mat. forv.,1
f.d.aff.bitr,1
labosrbhout,1
hjӓlpmont,1
utkorar.,1
skogslnsp,1
stick.arb.,1
kyrkog.vaktm fd,1
ugnsmast,1
jarnbr.arb,1
kok.eld,1
st.skrifv,1
sjomanshusvaktm.,1
aff.forestand:a,1
had____.,1
bygen.ing,1
sqvadronstrump.,1
laulbr,1
affarsbtr idade,1
lyktskotaren,1
akardrang,1
"byggn,sn",1
verktgssvarv,1
kondit.inneh,1
skvuarb,1
lith.arb,1
fordeg.,1
folkakollarare,1
post. betj.,1
hemtrirt,1
chauffof,1
bokfora.,1
aff.forast,1
kamereraren,1
se_man erik erikssons e:a,1
"sommerska, husfru",1
arbetare 100,1
trump.,1
grovplaslagare 463 e.,1
sick.arb,1
skof_arbet,1
verrkmast.,1
f. snickaren,1
packh.karl,1
ld arb,1
omnibusshauff,1
foralsarb.,1
smormej,1
f.d. handidk.,1
laeling,1
snuikase,1
Ŏvervagmast,1
jiu htu,1
nur.arb,1
o-vals.mast,1
ropt,1
kontt.bitr,1
elodure,1
fortogr.btr,1
forsaml.syster,1
dirftri,1
aff.bit.,1
gjuterilarl,1
ingeniorn,1
stenkols…,1
slakterinneh,1
tullakont,1
telegr.komm:e,1
kioskӓg,1
rejkeren,1
tjanstman,1
iagearb,1
landskamar,1
postvakt,1
sjukv.bitr fd,1
f.bag,1
hemsyst.elev,1
f.d. sekreteraren,1
motorbatsfӧr,1
l:e bytaingenjor,1
f. forsaljare,1
stadsmatare,1
f maskinbitr,1
lumpforman,1
Ämneslӓr,1
slakfarb,1
stenmastare,1
bokagent,1
sacklagerskan,1
smalt. son,1
bruksbokhallare,1
kontraktsprast,1
ihopsattn.arb:a,1
bergsm. son.,1
extralararen,1
skuraren,1
brukdarb,1
stenbugg,1
fdtg. olof olssons sjodins ea,1
hemm.eg,1
butikdforest,1
_ygforvaltare,1
e.o. reparatoren,1
karl asp,1
b. son,1
Åbos.,1
f bankbitr,1
tidningskolportoren,1
e.o.serivbitrade,1
bleckslageriarb.,1
auk.,1
presser,1
mekanikkr,1
skomak.mastare,1
inkass. bitr,1
overstelojt.,1
resarfabr.arb.,1
sprinnesrka,1
aahljor.,1
f stadslak,1
kemigr.larl,1
tf. stationskarlen,1
tappstensbitr,1
_ kurs aman,1
smidrep_.,1
umbals bihade,1
lif.insp.,1
kassab.,1
f. drg.,1
fastlgh.makl,1
kupémӓstare,1
ramarbet.,1
a-ag,1
fanj f,1
f.d.bag.idk.,1
e. servitris,1
chaff.,1
understӓd,1
gruvarbetare nr 626,1
batt.forest,1
gruvarbetare nr 618,1
elsa m,1
gaseld.,1
allarf,1
fargvag.,1
f.d. kopman,1
spraklarerinna,1
f.foman,1
arr sip_nent,1
stationskariv,1
billack.,1
skogsplantor,1
f jarnhyvl,1
oiving,1
Äg. tunnelsprang,1
tunnfabr.arb,1
tappstnfӧrest,1
galv.tekn.,1
postkontroll__,1
byggn.ingenioren,1
sped.form.,1
tunnb.arb.,1
platslagaremastare,1
radf__gs arb,1
roralagg,1
cem.slip,1
ingenjorsbitrade,1
jon andersfons son,1
_odgr.,1
fuir,1
f.d. sjokap.,1
kommunairb,1
helubitr.,1
telegrafkommissa_ion boktryckaren,1
isoleringsmont,1
mjoll.,1
s k n,1
moblesnickare,1
f.vaktmast.,1
varmeledn.montar,1
yrkesskollelev,1
f. d. hotellvaktm,1
koppslag,1
f. _h_.,1
snickeri-arb.,1
fil.sttuderande,1
svarvaran,1
byggn.grov.arbet.,1
juagg,1
f.banarbetare,1
vulkaniar,1
tingsdomare,1
hypotheksbokhall.,1
koks bitr.,1
gruvarbetare nr 611,1
f. d brygg/arb,1
f plaslag.arb,1
jagmastare?,1
stati. insp.,1
kont.akriv.,1
brebar,1
hobmast,1
flottehefen,1
tradg .mast,1
gransupps.man,1
Ŏverkontr,1
log__ar,1
folksk.lal,1
1:a avd.skot:a,1
li.forman,1
handelsfor,1
huggedrang,1
maskinsl.,1
vavlag.bitr.,1
f.affarsbitr,1
hãuov. arj,1
f.eyggnadssnickare,1
v. haradshof.,1
pol.stud.,1
rreparator,1
korvfors,1
"fabrikor, ag",1
kommunslsrbet,1
gottonstickaren,1
fyrmestar,1
affãrslritr,1
labornat,1
handelsmans ankan,1
gjutarelarl.,1
kaféidk.ank.,1
hewbitr.,1
batbitr,1
sakhallare,1
stadsinspektor,1
f fartygsmaskinist,1
arbet.f.d.snick.,1
ritaer,1
skarb f,1
horby,1
landskansl,1
konsulinna,1
lolhsheau,1
polisupps.,1
forsaakr.omb.,1
rkemark,1
smabr. ag.,1
charkut.larl,1
stations__yr.,1
"stark:a, fru",1
lagerakan,1
magasinskarlen 646,1
tvalmast.,1
"fanrik, teknolog",1
kr. daglonaren n 895,1
f.d.specerihandl,1
f. tullupps.man,1
kontrollassistent,1
komminister emer,1
tandtrkn,1
fabr.arbet.f.24.,1
handels idkerska,1
job.,1
skogsarb fd,1
"bang,mast",1
somnoreka,1
vagn- och stationskarl,1
gla_____are,1
verkrt.ag,1
f.d.hem.ag.,1
f jaktupp__ynnigsm,1
garagemast,1
skogf. arb.,1
winhandlanden,1
butikasfӧrest,1
lag. bitr,1
bangardsmastare,1
civi.ing,1
landtbrukh.,1
f Õverlar,1
studl,1
dfversearbetare,1
maskiningenior,1
humtita.,1
gruvbygg.,1
jardbr.arbetare,1
murtast,1
karosseriarbet,1
orundi .arb,1
fd.kanslisekr,1
ladug.akὅt,1
trom.m,1
kvarnarrendator,1
heudoffa',1
biljettkassorska,1
asfaltagg.,1
mod.transp.,1
forsta kl. sjoman _e 40,1
fanenare,1
distr.lantm.,1
spev.handl,1
folkskollar o. kantor,1
f.skolforest.,1
vagerb,1
vald,1
handl.idk,1
arbets_h,1
jag_neén,1
f.d.livfors. insp,1
sparbanksvaktmast.,1
matallarbet.,1
f byggmâst,1
kalernneh,1
maskinsattaren,1
rekl.artist,1
f.d. forradsforest,1
stations__,1
frisorlal,1
vȧvare,1
segelsiomm,1
murareanka,1
overskot:a,1
f.poliskommissarie 4.,1
eg. garf.,1
arbetare 792,1
assmanstjenstemannen,1
e._. kontorsskrifvaren,1
fd banmastare,1
pappersmast.,1
bensinstationsforestandare,1
suctgare,1
f Ỗverlar,1
chark:1st,1
stallkarlen,1
inspektionskonst.,1
haudlaude,1
kak.arb.,1
fd slojdlararinna,1
lagerfӧrestandare,1
stadstjenaren,1
bedbitr,1
represstof,1
kont.ch.,1
f. art,1
hemm.arb,1
planostam,1
monter,1
hsou,1
sladerha,1
skatteexek.,1
postforestand:a,1
o_g__.,1
fattigv.ass,1
fiilaifsoest,1
hushforestt,1
kj.man.karl,1
arsenikarb.,1
kg.hardv.arb.,1
hollman.bor,1
verksteadsarbetaren,1
landtbr,1
bil-&motorrep,1
heuol.bitr,1
juris kandidat,1
sk__dragare,1
f.d. skomakare,1
forradsbokfor,1
dӧdsbo,1
bergm,1
f.d. Öfverskogvakt.,1
centralpoliskonst.,1
fargmast.,1
direktorsass.,1
f brandmast,1
samastaren,1
tapetserargesall,1
"aff.bitr., h.h.",1
tunnbinderiarbetaren,1
direktor en,1
eg. bag.,1
masterlotsar.,1
kustoverupps.man,1
e.poliskonst.,1
ungskot.,1
hmk.,1
expeditionsvaktsbitrade,1
ritarne,1
arbetsforstandaren,1
l;ste postiljon,1
so_h_fr arb,1
pratt. lakare,1
kansblibitr,1
korv.hand,1
lista kont.bitr,1
restamator,1
f.valsmast.h:u,1
om__nd.,1
kapten frih.,1
sãlfe,1
fotogr.handl.,1
nelg aneua,1
borrare fru,1
f. smaltaren,1
fiskere,1
dintnotra,1
srask.lar,1
volontar nr 35,1
rebbudator,1
sterart,1
f.d. haradsdo_.,1
torgmast,1
sjom. carl nilssons hu,1
tobakshandl. f.,1
radiotelegrfist,1
resebyratjm,1
tvalfabr.arb.,1
pappersskararen,1
bleckslageriarb,1
stadskanslist,1
sekrelerere,1
verks.form,1
manuf.aff.inneh,1
masklnfor,1
sjulskou,1
berr,1
halijif,1
skaftfrasare,1
avd.forestand.,1
skolskӧterska,1
kungl. sekr.,1
maj.prakt,1
sagform.,1
slaktare hem.ag.,1
underl.,1
magelbitr,1
skof.arb fd,1
butiskschef,1
e. telefonisten,1
amanuens fru,1
forest.a,1
f.martinarb,1
f.skradd.mast,1
hovr.fisk.,1
kotellarbotaro,1
assist.skot:a,1
byggn.snicj,1
hattmakaregesallen,1
detaljakln,1
folegerska,1
satd,1
kapp.,1
sth,1
bergsigenior,1
understad.,1
spec.svarv,1
virapassare,1
friharmntjm,1
slojd handl,1
natlersk.,1
ӓnklefru,1
instruktӧr,1
sadelmakaregesall,1
arrd,1
kontrollot,1
1:e kontorskriv:e,1
stationskarlsasp,1
"litogr,arb",1
forroomarietare,1
filane,1
__rd.,1
v.direktor,1
sta_k,1
aff.abr,1
fru auua,1
gro.arb,1
konditoribitrӓde,1
co landskontoristen,1
f.lok.for,1
e.sjukvard,1
sadelmark.,1
forlagshandlare,1
malmlast,1
lantbrukare.ag.,1
valsv.arb fd,1
f sagv.ag,1
skolstad.,1
sjuk.skt.,1
ladov.adj,1
stenarb.pd,1
affminneh,1
"kamreraren, ledamoten i styrelsen",1
sadehm,1
kallvalsare,1
vekmst.,1
valsv.mast,1
kykoh.,1
himdkust,1
fabikbor,1
fristmark,1
hyggnadsarbetare,1
fd. kamreren,1
f avlӓs,1
chark.handl.ag.,1
piarl.arb,1
traarb.g,1
textillarb f,1
bevakningsbefalhavare,1
svervarell,1
verktygsuppatt,1
utkast.,1
reseffektmakaren,1
riskstelef:st,1
urmsk.idk.,1
hand.bith,1
forsakrings.distr.chef,1
nasterska,1
bȧshmer,1
modellsnickaren n 1026,1
skoforman,1
smӧrj,1
murare son,1
bilmontõr,1
eges af vaktmastar enkan,1
hurt.,1
f.d. byggn.snick,1
hovmarskalken,1
handelslar. 1,1
farg.h.bitr.,1
fӧrmontӧr,1
jarnslip,1
exekut.bet j.,1
adolfossn,1
damdris,1
lakejen 6,1
trysksvarv.,1
metall arbet.,1
roklamchef,1
sparvagakond.,1
mõbesnickare,1
rorledn.arb.,1
1:e reparatӧr,1
sk.arb. bil,1
betjent.,1
bitr.distr.verkmӓst.,1
klensmed fd,1
kafédk,1
ban m,1
kortvaruhandl,1
e.o.rep,1
forhshall,1
hans h:ru fiskforsalj.,1
f.skomakare,1
eypedit,1
f cykelhand1,1
syateeljeinnehav,1
earntrag.led,1
kondt.inneh,1
arrand,1
affarslnnehzarinna,1
skraddarm.,1
vag_,1
augusta h.,1
f.d. gravfogde,1
f. cementarb,1
banktjastenan,1
bgggarb,1
stads.,1
fernissarb,1
Ämnesar,1
sjukgyman,1
dakorat.elev,1
trӓttbitr,1
vailenbin raet,1
agaton mast,1
traktorkӧr,1
koppsl,1
skomak.nils,1
stadsveterinaren,1
f kullagerab,1
kr. platslag n 1422,1
skyburg.arb,1
aff.for,1
hattsomm,1
snlck.f.arb,1
hjalpmon,1
yrkesmat,1
ingenior dir.,1
torparr.,1
lok. stallv.,1
postfaorest,1
mantalsskrifvaren,1
maskimstt,1
f stadsvaktm,1
chargé d'affaires,1
tvalarbetaren,1
lokrep fd,1
f Övermont,1
prauistarb,1
extra bitradet,1
kustsergeanten,1
tagforare,1
f___ apotteckare,1
gruvarb. 354,1
kompresskot,1
brukseg ridd,1
ãuhefau,1
meusmast.,1
pa fordel enkan,1
f. waktmast,1
strands.,1
ljusarb,1
"snick, larl,",1
kondwktor,1
hem.arg,1
avdelningschaf,1
tullkammareforestand.,1
angfartygsbefalhafvaren,1
verkst.innehav.,1
cykelf.arb,1
ombudsman grefve,1
kr. maskinisten,1
fil dr docent,1
vedarb.,1
busschaff,1
koppary.arb,1
statskarl.,1
reklamexpert,1
"Östermalsmvag.15, soeby, almby",1
1:ste prov.lak.,1
f.d. fabbinnen,1
jernvag.,1
olo a.b hamthal,1
forsakringstj.mannen,1
f.gummif.arb,1
tapetser mast.,1
h.hustru bitrade,1
maskinvedsȧg,1
fd slaktaren,1
slottsvaktm.,1
mijãluare,1
fӧrsӓkr.omb,1
operatlonsskot,1
liv.arb,1
snick. brefbar.,1
fogearbetare?,1
svar-vare,1
fd. forestand.,1
f ror lagg,1
lastn.arbet,1
slefefrg,1
provn.arb,1
skrifst,1
getslakt,1
f.godsforvalt,1
snickame,1
e.o.hovrattshotarien,1
befalln.m,1
intendenturinsp,1
skoll_.,1
smideshandl.,1
f kassoren,1
maskinhandl.,1
johanfbãr,1
jrysiteta_,1
undtgm,1
clvlingenior,1
f.expeditionschef,1
arb. (sagarb.),1
hemnatl h.h.,1
jrãdg. arb,1
timmer_ell.,1
_p,1
krokea,1
utn kyrkoh,1
troker,1
sjukhustjan.,1
byggn.mal,1
skogsforman,1
antikvitetshandkare,1
shjrare,1
f.__,1
e.st.skriv,1
notisbar.,1
bhauffã,1
trӓarb fd,1
banktm,1
fastig.it,1
jarn. kontrolloren,1
"smed, bagare",1
mams brodbakning,1
l:e kammarskriv,1
skorstensmuraren,1
snickerelarl.,1
hennbitr,1
teol.stud,1
forrăsarb,1
blomsterbind.,1
jarnvagskontorist,1
kreat.handl.,1
ladug.kal,1
hustasatnud,1
kr. timmn n 556,1
houd frert,1
platslsgaren,1
f. fyrmast.,1
korsnkar,1
vakrmastare,1
frojd,1
kand.idk,1
varfsarb. n 1511,1
briftch,1
oljef.arb,1
"bernstradg,lar",1
brevbsararbitrade,1
f.grovarb,1
varvs,1
platslageriabr.,1
grb,1
industriarbb,1
sjun...,1
korksortererskan,1
tradgd. mast,1
biografmaskinist,1
f.d. slagtaren,1
ag.lokfor,1
cigarrmak.,1
skidf.arb,1
cigarrhandlaren,1
tapetseriarbetare,1
bandbetar.,1
lar.h.h.,1
motrrep,1
rorar betare,1
fildrag,1
lagrbitr,1
svensson,1
godsag.ag,1
skrivmaskinsforest.,1
fabr. form,1
sofia,1
skorstensfejarmastare,1
husfa?,1
kont . bitr,1
syltkokare,1
f.forradeforman,1
smasleollouoljine,1
pagarb,1
teatervakt,1
e.g. apotekare,1
blyglodgare son,1
kammarmusikus,1
Äkare,1
fd. lok foraren,1
ofverlarare,1
skomakaren n 57,1
ingenioren och navigationsskolelararen,1
vaktmas tare,1
e o brevbar,1
hh,1
byggn.ard,1
sjukvbitr,1
jarr.arb.,1
skradd mast,1
mjolkkoksforestand.,1
insp. baron,1
chorsangerska,1
kramhandlanden,1
hovkapellisten,1
arl. ladersson,1
tullinspektor,1
leg apot,1
kardare,1
maler,1
malarmst,1
stns.mӓst,1
kantoristen,1
platklipp.,1
butiksarbetare,1
forsakrings.,1
valdemar.traarb.,1
chok.ladarb,1
pstexpeditӧr,1
cedentarb.,1
handelsdkeska,1
vaveska,1
tygarnetare,1
tujlv,1
distriktslantm.,1
lantbetr,1
batkskepparen,1
bakelotarb,1
byggnadsm.,1
kaféforestandare,1
stadsbudsforman,1
l;e radiotelegr;st,1
kenditor,1
sysshom,1
ãulcelru,1
kolgg..arb,1
tandsticksarb,1
bokhallarn,1
begraningsentreprenor,1
konnunalarbotaro,1
f.d skollarare;organist,1
forsaljoingschef,1
ribbskjut.,1
tandlak.skot,1
f. fondkommissionar,1
gruvarb. 61,1
elektromaskinis,1
e.lokal telefonist,1
lishhandl,1
kansliv,1
forghandl,1
fotografisten,1
annonschefen,1
garvan.,1
viosk hth,1
handl.idk f,1
skradderilarling,1
l:e matarjusterare,1
statestikfor.,1
"somm.,f.24.",1
apotek.elev,1
ki_ist,1
svets.lar,1
hand.bokhall,1
rut ingrid,1
f fӧrradsbitr,1
augberforhar,1
manter,1
jarnsvaarv,1
mek.verksta.arb,1
skraddarelararen,1
tullvkmst.,1
lofris,1
fd.malaren,1
marta sofia elisabert,1
godsexpeditor,1
jhagrarb.lit,1
gradgardsarbstare,1
f.ryttm.,1
husfõrostaud,1
e.o.skӧterska,1
ag.mask.bitr,1
textilingernior,1
tryckerilarl.,1
aing bign.ing,1
transp,1
karl fredrik,1
ofversten m.m. friherre,1
betong.arb.,1
tel arbetare,1
melheo anenel,1
jem.Ȧg,1
e.arb,1
laujht m,1
"kontorist, h.h",1
telefonists,1
trdg. mast.,1
ladu…,1
kassadirektoren,1
platslageriarb,1
sonn,1
f. handelsidkerskan,1
bang.mast,1
ehaub,1
fd. lantbrukaren,1
skatteasistent,1
f. stins,1
eg. komminister,1
forsajringstjansteman,1
hammr.arb,1
civing,1
korshar,1
f dockmӓst,1
krb.arb.,1
umark,1
verkstadsbokhall.,1
f. sjukgymnast,1
sӧmnadselev,1
parkett laggare,1
met.press.,1
f gadskarl,1
reservovervakt,1
Äg. cementarb. ohlsson,1
lraklarbir,1
augusta,1
kand.arb.,1
hogosta,1
lisa,1
restaratris,1
apot.bitn,1
traullitarb,1
folkskollelararen;orgelnisten,1
stadsbudsorenst,1
lght. eg.,1
hemlih,1
enalsn.off,1
korpral nr 24,1
"son, larling",1
f.natl:a,1
kindergartenledarinna,1
f.stadsbibl.,1
platslagarmast.,1
byggnst,1
"lak,leg",1
wodgardsarb.,1
tullpackh. k,1
h.asp,1
bryg_,1
brodrakn;a,1
modiet,1
tradga.arb,1
postinspektoren,1
serare,1
jlahteriarb,1
vol.nr 14,1
