id,name
868,pizzicagnoli e olianduoli
869,pizzicaioli
870,pizzicaroli
871,pizzicaroli e cetrangolari
872,pollaroli
873,pollieri
874,pollieri al publico
875,pollieri e caprettari
876,pollivendoli
877,pollivendoli e venditori di frutta
878,portatori da sacco al mulino
879,portatori da sacco al porto catena
880,portatori da vino
881,portatori di vino
882,porters and servants (porteri e serventi)
883,potter (quartarari)
884,potters (cannatari)
885,potters (li vasellari)
886,potters (quartarari)
887,pozzaroli o dugaruoli
888,preconi
889,prestinari
890,produttori di veli o velari
891,profumieri e guantai
892,profumieri e guantari
893,purgatori e rivedini
894,"purgatori, rivedini e cimatori, tessitori di lana, lanini e cappellari"
895,quaglieri
896,quartegrantibus bestiae
897,quoiai
898,radaroli
899,raffinatori di zucchero
900,ramai
901,ramai e magnani
902,rebairoli
903,remeri
904,remorari
905,repezzini
906,repostieri
907,revendaroli
908,ricamatori
909,ricamatori (confraternita)
910,rigattieri
911,rigattieri o pattari
912,"rigattieri, linaioli e sarti"
913,rivenditori
914,rivenditori di bambacia
915,rivenditori di farine
916,rivenditori di opera bianca
917,ropemakers (cordari)
918,ropers (accimatori)
919,ropers (cordari)
920,ropers (funaioli)
921,ropers (li cordari)
922,ropers (li curdara)
923,"rotari, arte e maestranze"
924,sabioneri
925,saddle makers (sellai)
926,saddle makers (sellari)
927,sagomadori da oglio
928,sailors (li marinari)
929,sailors (li navi)
930,sailors (marinari)
931,sailors (mercatores maritimi)
932,"sailors and fishermen (marinai e pescatori di terracina di borgo, di piedigrotta, di kalsa)"
933,sailors and fishermen (marinari e pescatori di terracina)
934,salaioli
935,salaroli
936,salsamentari
937,salsamentari e postari
938,salsamentari o salumai
939,salsicciai e formaggiai
940,salsicciari
941,salsicciari e lardaroli
942,salsumari e casiogli
943,salsumari e casiogli (confraternita)
944,salsumari e potecari lordi (monte)
945,salumari
946,salumieri
947,saoneri
948,saponai e mercanti di olio
949,saponari
950,sarti
951,sarti e calzettai
952,sarti e giubbonari lavoranti e garzoni
953,"sarti, mercanti di abiti vecchi, cimatori di panni e battitori di cotone"
954,sartori
955,sartori e pateri
956,scaleteri
957,scamosciatori
958,scamosciatori del mercato grande
959,scamosciatori e guantari
960,scaricatori di vino
961,scarpari
962,scartaggini
963,scavezzadori
964,schiopetteri
965,scodellari e stovigliai
966,scodellari e tornitori
967,scopari
968,scopari (monte)
969,scorzeri
970,"scrittori d'ebano, avorio, legnami, oro e argento"
971,scrivani (monte)
972,"scrivani della regia camera,"
973,scrivani fiscali
974,sculptors (scultores)
975,sculptors/marble cutters (scarpellini e marmorari)
976,scultori
977,scultori di marmo e marmorari
978,scultori e intagliadori
979,scultori e scalpellini
980,scythe makers (falcenuriori)
981,seassieri
982,sediari
983,sediari del quartiere della porta di s. gennaro
984,segadori
985,segettari
986,segettari di portantina del largo carità
987,seggiari di noce
988,seggiolari di paglia
989,sellai
990,sellai e bastari
