occstrng,n
instramakalarla,1
hemmansegare lifstidsfange,1
hamnmästare f.,1
varumätare,1
soldat grenadiertorpsarrendator,1
inhyses kyrkvakt hemmansägare f.d.,1
hafa jordbruka,1
folkskolelarare vid mindre folkskola,1
ströare,1
student e.o. landskontorist,1
akare mjalhandlare,1
arrendator födorådstagare,1
dagsvatorpare afskahastjagare,1
fönsterputsare arbetare,1
folkska oa klocka,1
maskinarbetare å sockerbruk,1
platslagare 235,1
skolawaktmasta,1
murare vid sulfitfabrik.,1
gruvarbetare 359,1
Änkling gårdsägare i staden f.,1
landbondea afven smed,1
musikdirektar vid dragon,1
körkarl torpare,1
Överkonstapel vid flottan patient,1
gulddragaregesäll,1
bankvaktare,1
valsverksarbetare n:o 1385,1
kolgårdsarbetare f.d.,1
jordbrukare aftränden,1
hafa tullfarvaltare,1
grenadier skomakeriarbetare,1
fortifakassar,1
snickeriarbetare vid flottan,1
fil. doktor elementarläroverkslärare,1
skoamasta,1
kamrerare i riksba,1
jordbruksarbetare n. 21,1
ega snickamasta,1
skrivare kamrer e.o.,1
utnamnd kyrkoherdea laroverksadjunkt,1
bibelkolportörer,1
volaa va korporala urmakaarb,1
kont. makare,1
hemaegare 5a128,1
valsverksarbetare n:o 1233,1
varvsdisponent ?? ingenjör,1
vinutkörare,1
arrendator handelsbiträde f.,1
snickarea tomteg,1
godsägare underlöjtnant,1
abo hemmanagare,1
avskedad soldat lumpsamlare,1
meda licentiat astadslakarea,1
vedhandlare lantbrukare f. d.,1
hemmansägare slädmakare,1
filosa kandidat larovaadja,1
soldat korpral va,1
bargaregesall,1
utarbetare vid verkstad,1
fattighjon korgmakare dräng f.d.,1
soldat f.d.torpare,1
garfvare torpare,1
skomakare a hemmansagare,1
vaktmasta va hagre larova far flickor,1
arbetare inhyses eger hus,1
bradgardsarbetare soldat,1
kassabiträde v. stationshus,1
las hoteldrang,1
mälteriarbetare f.d.,1
grufarba nao 191,1
eldare i ångfartyg,1
arrendator brukspatron,1
gjuteriarba husega,1
privatsekreta,1
jordbruksarbetare stenarbetare båtsman f.d.,1
ombudsman regementsauditör v.,1
järnvägsarbetare Ägare 4.b.,1
volontärsrekryt,1
Änkling saxfilare,1
kantorselev handlare,1
skokmakare,1
orgeltrampare inhyseshjon soldat f.,1
hemmansägare kyrkoadjunkt,1
repecitionsförman,1
godsegarea fada riksdagsman,1
hemmansägare f.d. husägare,1
major ryttmästare f.d.,1
radfarga,1
valsva s arbetare,1
kommisionar o agent,1
forstmästarearbetare,1
telefonmontör vid a.b. l. m. eriksson,1
soldat n:o 1020,1
statdräng vid prästgården,1
jernvagslansman,1
gardman fada batsman,1
lekmanapredikant,1
medicinedoktor praktiserande läkare,1
jordbruksarbetare fada kusk,1
brödutkörare ex.,1
mureriarbetare flottningsarbetare,1
stadsbyggmastare arkitekt,1
bokhållare speceriaffär,1
transportkarl,1
handlande kyrkvärd gårdsägare,1
korpral vid svea lifg. f.,1
reservofficer kopral,1
ringare lägenhetsägare,1
ex kronotimmerman,1
Ägare mekaniker,1
kronojaga o hemmansaga,1
1ste konsta 12,1
gardinvafvare,1
kontraktsprost kyrkoherde mama,1
brefbarea,1
jordägare stenarbetare,1
landtbrukare ega enla handelskalendern,1
jorstorpa,1
förman vid vagnfabrik,1
platslagare 613,1
gruvarbetare 375,1
maskinarbetare 925,1
bondehjon,1
tillfällig arbetare kammakare,1
kronofjerdingsmana hemmansega,1
bergarbetare 191,1
soldat n:o 294,1
hemaega namdeman fjardingsma,1
svafvelaarbeta,1
jordagare amindrea fa smed,1
bradga inspekta,1
snickare utjordsegare,1
snicka a,1
filakandaa laroverksadja,1
konsul va vid bank aktieagare kapa tobaksfabriksdelagar grosshandla fa,1
platslagare 483,1
ankling karare,1
verkmastare va fabriken,1
kolfatare vid järnverk,1
ager och brukar en del af denna lott,1
sergeant abo,1
predikant arrendator,1
underlajtna vid skanska husara,1
brukspatron fadasergeanta,1
diversearbetare jordbra,1
färgerilärling f.d.,1
smedsarbetara,1
kassör å tryckeri,1
telegrafkomissa,1
afsaegare fd asoldat,1
husman garvare,1
landtmannaelev,1
fila diktaa laroverksadjunkt,1
godsägare student,1
gymnastikassistent,1
sömmfabriksarbetare,1
avsynare f.d.,1
husegarea snickare o handlande,1
kapta vid ba rega,1
understödstagare jordbruksarrendator,1
backstuguhjona gratialist,1
filfabriksförman,1
korpral n:o 11,1
järnvägssmörjare backstuguhjon,1
skomaarba fange,1
arbetare vid malntorps jernfabrik,1
arbetare vid prippen,1
snickare boende,1
skeppshandelskassör,1
klädesfabrikör tomtägare,1
bruksförvaltare förre,1
arrend a poststationsfarestanda,1
arbetare nao 406,1
hemmansagare och fada namndeman,1
handlandena hemmansagare,1
kyrkvaktarea hemmansagare,1
stationskarl soldat afsk.,1
bagare och torpare,1
jordarbeta torpare,1
orgelnist och klockare fada folkskolelarare,1
plåtslagare n:o 560,1
snickarearba a,1
fosfarbetare,1
apotha husegare,1
h eg i langnas brukare,1
redaktar fila dar,1
soldat n:o 932 vid s. k. k.,1
dynamitupplagsförman,1
rotebåtsman 22,1
valsverksarbetare n:o 1420,1
kusk las,1
verkstads arbeta,1
sagverksarbetare afa batsmana,1
va haradshavding privatjurist,1
sulfatarbetare kusk f.,1
kansliskrifvare,1
arbetare i socknen,1
timmerkarare och sagverksarbetare,1
predikant sadelmakare,1
hemegare kyrkovard,1
mjölnare hemmansbrukare,1
gruvarbetare 19,1
kronointäktsägare gratialist f.d.,1
hemmansegare och fada valsarbetare,1
arbetskarl husman afiskarea,1
svarfvara,1
fil. mag. läroverksadjunk t.f.,1
arbta hyresgast,1
jordägare sågägare kvarnägare,1
malarea hemaagare,1
murerihandtslangare,1
jarnvagsarbetare drang fada,1
agare 5a65,1
gårdsägare i staden handelsbiträde,1
orgeltramp klensmed,1
poliskusk,1
lös gosse,1
huggare f.,1
dispona vid mejeri,1
kronolansman husegare,1
sjaman fattig,1
mureriarbetare volontär,1
släggsmedsdräng,1
verkstadsnattvakt,1
dagsverkare vid sulfatfabriken,1
måleriarbetare fotograf f.d.,1
murarea byggmastare,1
guld o silverarbetare,1
fattighjon arbet,1
isoleringsarbetsmontör,1
arbetska inhysa,1
renskrivare jordbruksbokhållare,1
tulluppsyningsman e. o.,1
kyrkoväktare målare torpare,1
lagenhetsinnehafvare skraddare,1
skolföreståndare lärare vid hörby samskola,1
inhyses måleriarbetare,1
klockarea orgelnista vaccinatara,1
hemmansaga riksdagsmana ingeniar,1
sergeant och elev vid krigshagska,1
jordbrukarbetare Änkling,1
eger hemman handla,1
student vid tekn. högskolan stockholm,1
husagarea slakteriarbeta,1
smed vid sulf. fabr.,1
steoramaförevisare,1
organist o fada skollarare,1
handlande fada skraddare,1
malledra,1
fotograf litteratör,1
handlande artillerist fa,1
tradgarsdmasta,1
husman kvarnbyggare,1
traddraga arba,1
repsa arba,1
tobaksfabrikör cigarrhandlare,1
smidesarb.,1
fotogensbolagsarbetare,1
lagenhetshavare,1
Åbo banmästare,1
hemmansega och skogvaktare,1
bryggeriägare f. d.,1
jordegare och snickare,1
fördelstagare kyrkvakt,1
knivsmedsgesäll,1
fada artillerist stenarbetare,1
dejeman,1
hega och roteba,1
inkasserarebitra,1
målare barnhusbarn f. d.,1
kyrkovaktare livgrenadier fa da,1
hyvelmaskinarbetare,1
dragon nao 66,1
hemmansega o fada skeppare,1
hyfvelmaska,1
nao 32 soldat,1
bryggeriarbetare diversehandlare,1
renskrifvara fada,1
jordbruksarbetare lokomotivförare,1
järnvägsvagnsputsare dräng,1
mejerimaskinist torpare,1
nykterhapredikant,1
extra sagverksarbeta,1
hovpredikant kyrkoherde,1
maskinist stenarbetare,1
nao 106 soldat,1
Ångkvarneldare,1
torpare ua hallby skattega,1
järnarbetare hopsättare,1
agent far yllefabrik,1
timmerman fa dragon,1
timmermansarbetare barberare f.d.,1
Åkeridräng smidesarbetare f.d.,1
teatervaktmästare f.d.,1
hemmansbruka fa lifgrenadier,1
hemmansagare organist fa,1
smedslärling fästningsfånge,1
maleriarbetae,1
rarlaggare gardsegare,1
kronobostallsarrendator,1
kartmaskinsfabrikar,1
arrendator klockare f.d.,1
skomakaremästare båtsman nr 250,1
resehandelsbitrade,1
fyrmästareson,1
arrenda och skoma,1
borstbindmästare f.d.,1
extra landskonta,1
kontraamiral,1
tomtega tandstaarba,1
stationsbokhållare vid s:a dalarnes jernväg,1
järnarbetare matros f.,1
underofficerskapten,1
hovkapellmästare 1:e,1
reservunderlajtnant i kungliga flottan,1
komminister regementspastor f.d.,1
maskinpressarer pappersbruk,1
maskinarbetare 818,1
farestandare far fabrik,1
skomakare jordbrukstorpa,1
avsyningsföreståndare,1
direktör i klädesfabrik,1
gardfarehandla,1
maskinarbetare n:o 743,1
jordarbetare gardsagare,1
agarea garfvaregesall,1
handla alandtbraa,1
arbetare fadagratialist,1
ryttmästare jordbrukare,1
laggerkar,1
lägenhetsägare järnlastare kollastare,1
handelsbiträde konstapel f.d.,1
schäferidirektör,1
fada batsman banvakt,1
korporal vid klgla 1asta lifgrargta,1
expeditionsfarestandare biljettar,1
valsverksarbetare 1640,1
fiskare nybyggare,1
dranga grenadier,1
tegelpressmakare,1
disponent husagare,1
soldat no 88,1
undantagsägare martinsarbetare,1
extra banvakta husega,1
torpare och timmerkarl,1
fabriksdelägare,1
handbitrade,1
garvare lägenhetsägare,1
fartygsredare hemmansägare,1
häradshövding vice riddarhuskamrer,1
volontar och handelsresande,1
harrendar,1
efeka grenadier,1
larlinggesall,1
hyresga arbka,1
pastor v. klockare lägenhetsinnehavare,1
soldat nr 975,1
skomaa arbetare,1
ljusfabriksarbeterska,1
klensmed 104,1
skomakaremastare och laderhandlare,1
sadelmakarega,1
fa sagstalla,1
handtelsbokha,1
regementskommisarie syssloman,1
hmsaegaea fjerdingsman,1
Änkling fabriksförvaltare sergeant,1
soldat vid ka da ra,1
hammarsmed n:o 1153,1
arbetskarl f kr.,1
maskinist i handelsbank,1
stations bokh,1
arbetare vid fiskhamn,1
husägare trävaruhandlare,1
badbiträde på renströmska badhus,1
soldat o jordtorpare,1
vaktmästare vid brunnen,1
mineralvattenfabraarba,1
kakelungsmakagesall,1
bodbitraa,1
skomakare afa daa,1
trumslaa stenhaa torpegare,1
skogvaktar,1
spanfabriksarbetare,1
skorstensfejare fattighjon,1
torpare tullvaktmästare e.,1
lastare vid station,1
torpare fjädringsman,1
fa batsman sagare,1
fattigfarestaa,1
husägare boddräng,1
vedsågarearbetare,1
soldat och dräng,1
grevea kammarha,1
extra vagnfarman,1
yllefabrikslagerchef,1
kramhandlare backsittare,1
skraddare livgrenadier fada,1
mangeldrang,1
hemmansegare och fada bruksfarvalt,1
styckjunkare krögare vid art.,1
jordtorpare afska soldata,1
hemmaega oa murare,1
trädägare,1
timmerman ankeman,1
elektricitetsarbetareförman,1
hamnarb,1
tpa jag,1
haradsskrifa a radma,1
hyrande volontar,1
portvakt skomakarmästare,1
postinspektör f.d. kapten,1
Änkling styrman,1
student tjenstgar vid tullverket,1
kyrkvaktmastare soldat fada,1
hemmansegare traskomakare,1
tröskeman,1
"kammarskrivare e,o.",1
notisbärare -bud,1
jordtorpare sågare,1
hemmansaga faltja,1
abo slagta,1
portvakt för a.b. sthlm. telefon,1
rektor lektor,1
fotograf handlande,1
gymnasierektor,1
soldat skomakaregesäll,1
inhysaa murare,1
kassör vid stenhyvleri,1
jarnvagsarbetare verksarbetare dragon fa,1
skräddare båtsman f. d.,1
arbetare i sandarne brädgård,1
medicin licenciat bruksläkare,1
instrumentmakga,1
snickar,1
sva missionsfarba predikant,1
tafa metallurg,1
skradderiarba autfaa,1
linjevakt husägare,1
gårdsägare i staden konfektbagare,1
sadelmakarea arrendator,1
arrenda husartorp,1
kyrkoväktare t.f.,1
lägenhetsinnehavare läns skogsvakt,1
snickare torpägare f.d.,1
kemist vid gummifabrik,1
soldat stenarbetare husägare,1
torpa laxfisk,1
jordrbruksarrendator soldat,1
kaptena kompa chef,1
folkhögskolelärare pensionär,1
drang fa da jarnvagsarbetare,1
platslagare 540,1
sparbankskassör Ägare 2,1
arrendator af prestbordet,1
köttaffärsdräng,1
jordbruksarbetare båtsman f. n:o 48,1
blockmakariarbetare,1
arbetare nao 329,1
fjärdingsman snickeriarbetare,1
torpareega,1
soldat torpare f.d.,1
montörarbetare f.d.,1
symaskinskontrollör singer,1
kansli vaktma,1
skollärare hemmanägare,1
hemmansägare sockenskrivare f. d.,1
byggkarl lagenhaeg,1
orgeltrampa torpare,1
inha fiskarea,1
egare af egendomen,1
maskinist stärkelsefabrik,1
brädutbärare,1
svardsfeja,1
folkhagskolefarestandare filosofie kandidat,1
kontraksprost,1
faltskar a barberare,1
hälftenägare gårdfarihandlare,1
vinhandelsarbetare fada,1
landtbrukarea husega fada handla,1
snarmakagesall,1
seminarist f.,1
hafa mabelsnickare,1
fa djurgardsstangare,1
soldat n:o 67,1
torparrendator af ett torp,1
direktör vid bergsunds mek. verks.,1
arbetare vid klosettfabrik,1
tjänsteman i köpmannaföreningen,1
arbetare nao 478,1
utsädesagent,1
prostson,1
finansdepartementamanuens,1
stentryckaarb,1
hemmansaga a kronofjerdingsma,1
maskinarbetare n:o 761,1
tomtägare trävaruhandlare,1
gransridare aga,1
agare virkeshandlare,1
amanuens hos postsparbastyrelsen,1
maskinarbetare 815,1
båtsman n:o 47,1
hemmansega och mjalhandla,1
lagenhetsagare urmakare,1
veterinaralakare,1
lägenhetsägare skrädderiarbetare,1
grindbanvaktare,1
sågarbetare volontär,1
boktryckeriöversättare,1
gårdsägare arbetskarl,1
faktor vid järnverk,1
fastighetsmäklare agent,1
lantbrukare betjant,1
förnicklare fabriksarbetare,1
repslagarba,1
orgeltramparea fa soldata faltjag,1
distriktsingenjör å väg o vattenbygg.,1
soldat nao 56,1
hemabruka af 5a12,1
telegrafinspa,1
Ättiksfabriksförman,1
i lantbruk,1
ahemmansegarea fada korpral,1
toffelmaka husma,1
gjutare 903,1
utnamnd comminister,1
sjama maskinist a angba hurtig,1
hus oa tomt snickare,1
lärare v. vid tekniska skolan,1
snickare eldare,1
inspektor inhyseshjon skogsfarvaltare fada,1
soldat no 846,1
kapten va halsa rega,1
inspektor vid nilssons ångsåg,1
filarelev,1
amanuens tjänsteman,1
hyrande sjaman,1
maleriarbeteare,1
husar nar 93,1
filfabriksmaskinist,1
armaturfabriksförman,1
torparea fattighjon,1
murare fada hemmansegare,1
maskinarbetare n:o 684,1
agare av 2 tunnland 3 kappland,1
soldat vid westgata rrgemente,1
platfernissare,1
baptistpredikant gårdsägare på landet,1
klockare vetrinär,1
klensmed 159,1
soldat n:r 33,1
volontär vid artilleriet f.,1
plåtslagare verkmästare mekanisk,1
aliteratara,1
fargare husman,1
möbelfabriksdekoratör,1
bryggeridirektör f.d.,1
jarnvagsarb afa da soldata,1
gjutare 1292,1
inhyseshjon och garfvare,1
soldata fa arbetare,1
livfarsakringinspektar,1
utkararbitrade,1
resesekreterare,1
backsa smed,1
innehafa af en torfmosselagenhet,1
uppbördsinspektör hovrättsnoarie e. o.,1
bradgardsspektor,1
folkhagskolans farestandare,1
smed a hemmansega,1
filtfabrikar,1
revisor i marinfarva,1
skogstaxator,1
ea packhuskarl,1
sjöman lotsdräng f.,1
konditoridrang,1
magasinföreståndare lägenhetsägare,1
gratialist arbetare korpral f. d.,1
taptserare,1
husman smedsarbetare,1
järnvägmontör,1
hemmansegaa fa inspektor,1
gruvarbetare 540,1
skeppsklarerare o va konsul,1
lumpsamlare handlande,1
kronolots bonde,1
handskfabriksarbetare f.,1
backstuguhjon lös,1
maska arba 772,1
maskinarbetare n:o 814,1
badaren,1
båtsman n:o 168,1
faktor vid Öster alnö ångsåg,1
Ägare hemmnsägare,1
hemmansagare fa snickare,1
tillfällig arbetare f.,1
lampfabrikör,1
soldat n:o 122,1
prost fil. doktor,1
cellulosafabriksföreståndare,1
hanolande,1
hamnlots sjakapten fa,1
hemmansägare bankdirektör,1
reseexpeditör e. o.,1
elektroteknikgesäll,1
torpare landbonde f. d.,1
faktor å tryckeri,1
afila kanda eaoa landtmatarea,1
jängare,1
jordbruksarbetare kantor f.,1
hattman,1
sagarbetarea fad batsman,1
trollkonstnar,1
tornvaktare extra,1
operettsangare,1
kronobåtsman no. 147,1
valsverksarbetare n:o 1236,1
saxfilare,1
annonsmottagare vid stockholms dagblad,1
tradgardsmastare oa hemmansega,1
landstingsman torpare,1
jarnvagsfarradsarbetare,1
kassör i kaps:fab.,1
arbetare nao 425,1
organist oa folkskolla,1
lagenhetsagaa timmerkarl,1
drg handelsbitrade,1
dagsverkstorpare stenhuggare,1
valsva 1323,1
snickare 44,1
rådstuguvaktmästare,1
fabriksarbetare konstapel 2:a,1
lägenhetsägare tegelslagare soldat f.,1
häradshövding vice stadsnoarie 2:a,1
fiskarea fa faltjagare,1
fa da livgrenadier skraddare,1
arbeta fattighj,1
hemmansägare tegelslagare,1
spinnerfabriksiförman,1
snickare o torpa,1
maskinarba nao 802,1
verkmastare vid mekanisk verkstad,1
plåtslagare n:o 574,1
soldattorpsarrendator snickare,1
bonde folkskolelärare f.,1
kapitalist dräng f.d.,1
urmakare telefonreparatör,1
handlande faartillerist,1
stationkafarman,1
grufarba nao 163,1
Ångbåtsmaskinist sågarbetare,1
mekaa verkstaa arb,1
forsk. kandidat,1
trädgårdsmästare fiskhandlare,1
husagarea resehandla,1
statdra murare,1
arrendator av häradshövdingsboställe,1
arbetskarlajordarbtare,1
husagare gruvarbetare 241,1
jordbruksarbae lagenhetsegare,1
regementstrumslaga,1
drang a arbetare,1
grovarbetare div.,1
ciselörlärling,1
tjänsteman i grängesbergs bol.,1
plåtslagare n:o 620,1
Ägare mekanikerarbetare,1
snickarea backstugusittare,1
spelstyrare arbetare,1
organista folkskollarare fa,1
ritare vid spårväg,1
hälftenbrukare Åkare,1
inhaadra,1
fjardingsmana bryggare,1
ua lajtnant vid skanska dragonerna,1
klsmed,1
komminister vise,1
fargatagare,1
inha jernva arbeta,1
trädgårdsmästare vid tändsticksfabrik,1
brukaa handla,1
kjettingsskarare,1
porslinsreparatör,1
godsega fada fanja,1
magasinförvaltare f.,1
bruksegare ma ma,1
hovnotarie eaoa,1
inspiktor dispona vid sag o hyfleri,1
medicine fil. kand. husägare,1
borstbindare gårdsägare i staden,1
ringare gala kyrkan fada,1
stadskassar kamrer,1
bostallsa arrenda,1
hjälpkantare vid sågverk,1
skradderiarbetare hemmansagare,1
magsinsarbeta,1
bergsbruksidkare riksdagsman,1
spanmalhandla,1
virkesmätare f.d.,1
inspektor vid stad. renhålln.,1
jordtorpare wagnsmakare timmerman,1
egarea borgmastare,1
fabriks snickare,1
automobilförsäljare f.d.,1
godsa hemmansegare,1
hjulfabriksfarestandare,1
jernvagsarbetare schaktmasta,1
svarfagesa hjon,1
säckbärare inneboende,1
valssagarba,1
till hus jordarbetare,1
hemmdelsegare,1
utarbetare n:o 1033,1
arbetare vid vattenverk,1
jordbruksarbetare faltjagare fa da,1
godsegarea fada ryttmastare,1
henmmansbruka,1
gods och bruksegare vica haradshafding,1
knapparba,1
folkskolla klockare kantor organist hemmansega,1
korpral vid gata lifga fa da,1
lektora docent,1
innehafvare af jordundantag,1
fattighuspredikant diakonifarestandare,1
daglönare korgmakare,1
gaaaaaaaaaa,1
arbetare nao 465,1
torvarbetare skogsarbetare,1
metallarba vid meka werksta,1
ritare vid fabrik,1
inhysehjona jordbruksarbetare,1
inspektor filakanda,1
jordbruksarrendator fältjägare f.d.,1
spannmålsmagasinkarl hemmansägare,1
disponent vid träförädlingsfabrik,1
konditar,1
skogvaktare hemmansegare,1
verkstadsarbetare gjutare,1
landtbra fada kapten,1
korpral v. n:o 863,1
pumpa,1
qvarn oa haega,1
fada eaga bra,1
kopparslagaresmed,1
bokhållare linoleumagent,1
tagit hofrattexa,1
bageriarbetare gardsagare,1
hamnarbetar. dräng,1
banvaktare banvaktstugagare,1
torparea ankling,1
kakela fabrika,1
jarnvagsbetjant fada,1
patronhylsepressare,1
valsva 1399,1
agent byggnadsleverantör,1
gardsegarea fa bryggare,1
jordaarbetare timmerakarl,1
soldat f.d. arbetskarl,1
kostymföreståndare,1
smedsarbetare gardist f.,1
avdelningsingenjar vid statens jarnvagsbygga,1
folkskolelarare vika orgelnist,1
inhys kritbruksarbetare,1
kolpotara heg,1
urmages,1
snickeriarbetare vid bomullsfabrik,1
spegelmakagesall,1
farvalsare,1
husagare sagmastare,1
torpa stenha,1
organist musa direktar,1
gratialista fada hussar,1
smed n:o 163,1
sagva faktor,1
Ägare gästgivare fanjunkare f. d.,1
timmerman fasoldat,1
grufarbeta o fa husar,1
hemaega o skraddare,1
afversteson,1
grenadjer brukare af soldattorp,1
murare extra,1
ingenjör vid grytgöls tråddragningsfabeik,1
porslinshandlare glashandlare,1
varvsbanvaktare,1
grovarbetare vid jastfabriken,1
filare vid ludvigsberg,1
barnhusbarn nao 10254,1
fabrikar och handlande,1
vaktmäst. ordn.man,1
skeppsbyggare husägare,1
elektritetsmontör,1
skrotarförman,1
fabriksmastare husega enla norrkakala,1
handlande kopparslagaregesäll,1
arrendator afadaladufogdea,1
vilthandlare grönsakshandlare,1
bokhallare organist examina,1
provinsial laka,1
stattorpare soldat i yxnerum,1
ja ega,1
Änkling bryggeriarbetare,1
husagare gruvarbetare 75,1
spegelmakeriidkare,1
blindskolerektor,1
brukare garvare fa,1
rättare Ägare f.d.,1
navigationsföreståndare f.d.,1
drang pa garden,1
revisor i general tullstyrelsen,1
varssmed,1
inspektör målarmästare f.,1
stenhuggeridisponent f.d,1
timmerverkmästare,1
hemmansägare folkskolelärare ex.,1
speceri a diversehandlande,1
postbarare torpare,1
farman sag a,1
kanslist i överståthållarämbete,1
vagnputsare vid jernvag,1
egaa faltjaga,1
gruvarbetare 126,1
7a30 hemmansagare,1
arennda vagnmaka,1
postelhjon,1
fattigvastyr oa ombudsman,1
strykjernsuppsättare,1
kötthvaruandlare,1
folkskolelärare förste lärare,1
odelstorp o faltjagare,1
husägare kalkbruksarbetare,1
modellsnickalarla,1
inhyseshjon och sjaman,1
skomaker larla,1
ladugardsuppsyningsman,1
tafa rektor tha a fila kanda,1
valsverksarbetare n:o 1283,1
brukare torpere,1
inha boddrang,1
kattuntryckare bokhållare f.d.,1
underlajtnant i armen,1
angbatskommissiona,1
hemmansägare korpral biträde,1
hemmansegare banvaktarea,1
specerihandlare diversehandlare,1
amanuens i ka armefarvaltna,1
pappersbruksarbetare vid lilla edet,1
skraddare och,1
afre befallningsman,1
kantor folkskolärare,1
hemmansägare målare kassör,1
konsul vice brittisk,1
springgosse vid mejeri,1
malarea straffange,1
distriktlantmätare ext.,1
byggnadsingenjör entreprenör,1
barberareidkare,1
ega handaidkare,1
gårdskarl tegelverksarbetare,1
jernva kontrolla,1
urmakare lifstidsfange,1
grindvakt f.d.,1
artillerist banvakt,1
livförsäkringsdirektör f.d.,1
sjaman o snickare,1
arbetare nao 90,1
barnhusbarn 15767,1
backstasa fattighja,1
sorterafarman,1
hemmansbrka,1
folkköksföreståndarinna f.d.,1
inhasa jordbraarba,1
kommissionlandtmätare f.d.,1
portvakt ordningsman,1
grufarba nao 119,1
snickarea arbetare,1
grufarba nao 339,1
bryggmastae,1
fabriksarbetare ankling utfa,1
sjukva artillerist,1
jernverksidkare,1
väverilagerbiträde,1
arrenda litet jord,1
fattigfarestae,1
handlande grindvaktare,1
lägenhetsägaren skomakare,1
instrumentmakagesa,1
meka fabrikslarla,1
smed gardegare,1
valsva 1309,1
pumpmaka fada,1
magistrats sekriterare,1
spennmalshanda,1
platslagare 197,1
farpantningsagare soldat,1
snickeriarbetare vid pappersbruk,1
Åkare husar f.d.,1
vagnsmörjare fabrikör,1
husegare arbeta vid bierbryggeri,1
t.f. kapellpredikant,1
hemmaaegare namndeman,1
ankling hakenhandlare,1
fattighjon hyresgast,1
mejerist maskinist,1
lagenhetsagarea stenhuggarea,1
hemmansegarea fa namdeman,1
rantmastare lansbokhallare,1
Åbo småbrukare,1
tafa stadsbygmastare,1
mjalnare pa nissaforsa,1
musikdirektar kantor orgelnist,1
tapetserarbeta,1
hemmansegare tapetfabrikant,1
kommunalskrifvare,1
modellör vid skofabrik,1
löjtnant kvartersmästare,1
undantagshja och malare,1
sulfidarbetare,1
bradarbetare,1
hemmansega klocka a organa,1
kamaskrifa,1
kontorist vid sapfabrik,1
skogsarbetare brukare f.d.,1
notisbarare vid telegrafen,1
torpare livgardist,1
inspektor jägmästare brukare f.,1
kapten vid nerikes regemente,1
Ägare lekmannapredikant,1
Överläkare vid maria sjukhus,1
spårvägssnickare,1
trädgårdsdräng lösdrivare,1
jordarbetare fda hema egare,1
regementsskomakare f.d.,1
förman vid elektrokemiska fabriken,1
filare vaktmästare vid epedemi sjukhuset,1
eaa brefbarare,1
vakorpral o hega,1
eaoa tullroddare,1
biträde kammarskrivare i tullverket,1
bruksa och godsagare,1
tradskommare,1
farmaceut stud.,1
vavnadssynare,1
mekanikerarbetare understödstagare,1
lärling vid knivfabrik,1
farman far torfberedning,1
malare dragon,1
murare Ägare 1,1
hakare o husegare,1
gjuterisnickare,1
postbrefbarare fada soldat,1
artilleristen nao 45,1
haradshavding oa,1
kronobatsman hemmansagare,1
pensionär malmvägare f.d.,1
hemmanea arrendator,1
statarbetare,1
kronojagare skogvaktare,1
kammardräng e.o.,1
backstugusittare banvaktare e.,1
skoma o torpega,1
kasar,1
arbetsförman för textilindustri,1
husman o kyrkovaktare,1
wagnmaarba,1
ahastskararea,1
fjerdingsma oa husega,1
spinnerifabrikskassör,1
tradgardsma tradgardsarrendator,1
soldattorpsarrendatora,1
domprost Ägare av n:o 71,1
brukare af undantaget,1
hyrande stolmakare,1
hemmansarrendator fjärdingsman,1
tidskra kommisionnar,1
pensionär förpantningsägare,1
grufarba nao 153,1
jordägare bokbindare,1
skraddare o jordegare,1
sergeant vid värml. trängkårs reserv järnvägspolis,1
lajtnant aarrendatora,1
agare kronorattare,1
arrendator enk,1
handlsbitra,1
folkskollärareseminarieelev,1
fanjunka oa skradda,1
rättare fördräng,1
järnhyvlarelärling,1
bomullsvaveriarbetare disponent,1
hemslagtarea torpare,1
folkskolelarare klock o organist,1
förrådsförvaltare sergeant,1
jordbruksarbetaa husman,1
plåtslagare n:o 245,1
gardsvaktare,1
kappmakarelarla,1
bostallsega och skraddare,1
polermastare,1
skrädderimästare,1
arbetare gårdsrättare f.d.,1
skruvgängare,1
godsegare fada lajnant,1
hemmansagare glasbruksarbetare,1
malarea fa artillera,1
Ägare försäkringsinspektör,1
skrivare skogvaktare f.,1
spolförman,1
stålgravörarbetare,1
forkarare,1
egare godsa,1
länsskogvaktare redaktör f.,1
spraklarare i sthlma,1
Änkling renhållningskarl f.d.,1
farba arbetare,1
postfararea fa sold,1
klosettfabriksarbetare,1
stationsportvakt f.d.,1
maskinist v. vattenv.,1
grenadierkorpral vid kongla lifrega grenadacorps,1
Ångbåtskommissionär bokhållare f. d.,1
hemmansegaa afven smed,1
bokhållare vid stadsbanan,1
konstapel 1:sta f. d.,1
husegae murare,1
platslagare 416,1
hyrga skomakare,1
borstbinderiarbetare f.,1
vid elektra kraftstation,1
nattvakt stationskarl e.o.,1
solda arrendator,1
hemmansägare å sörby,1
protokasekreta,1
Ägare klockare skollärare f.d.,1
smältardräng vid glasbruk,1
konsult elektricitetsingenjör,1
dragarea extraa,1
kusk gardsaga,1
vaktmasta skola,1
skomaa arba,1
egarea gjutmastare,1
fmta oa snickare,1
skovaktare,1
hyrande baptistpredikant prast fa,1
hovrattstjanare,1
maskinarbetare 950,1
timmerman n:o 1106,1
dagkarl oa fada soldat,1
eger ko,1
poststationsfarestandare fada fanjunkare,1
torpa gevarsmed,1
